miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7a-2-3p	3.743793	6.563034	11.231928	13.465068	13.796371	1.654066	5.849049	11.295947	6.790371	3.242111	1.108716	14.504681	11.860779	1.459492	5.224492	6.506519	6.615467	9.830976	1.32645	1.130154	8.81627	8.23992	9.70757	11.689775	9.794207	8.450296	29.116912	4.442886	1.089372	7.064453	2.604776	3.239925	2.335833	20.519806	4.623222	1.774696	3.653511	7.204118	4.788478	10.70909	17.971442	2.515756	1.510568	6.609401	8.264509	1.61852	3.175333	4.556499	7.433676	7.818875	4.917167	5.689423	6.341158	5.849347	14.31121	8.976333	12.192482	10.349916	6.793404	6.173129	5.329625	7.674578	4.637738	2.273096	4.351412	12.691436	4.399311	9.185664	11.969275	4.227929	3.183399	14.758908	2.977501	2.941785	14.691346	9.839178	11.297366	9.10014	10.735363	4.015601	14.944283	2.714994	6.985921	11.517669	9.973888	4.646748	6.079652	8.83967	6.677162	2.540628	5.258067	6.992938	4.557755	11.33255	6.949416	6.143362	6.196979	1.618128	5.899185	3.413622
hsa-let-7b-3p	43.802375	25.783351	27.058736	37.145015	41.820242	28.946158	34.425832	36.994229	26.92733	36.203575	38.805061	25.225532	58.456692	34.006163	33.356375	36.346765	26.461867	26.321648	37.582786	40.685552	32.153457	35.534656	36.133733	45.297878	16.323679	43.659861	31.300682	23.201741	39.217395	16.147321	17.489212	19.902395	42.378678	50.810948	52.956907	37.860169	18.652139	25.214414	17.493911	25.19786	19.409157	27.673304	27.756692	50.986807	33.59123	36.012079	29.182824	43.07963	33.323371	21.616889	8.19528	5.908246	19.023475	25.177622	32.200222	27.926369	37.593488	30.310468	23.097575	17.147579	21.515897	21.279513	6.778233	33.869127	24.526139	10.576197	15.617553	18.1296	23.575846	17.562169	14.325293	21.759929	12.992732	12.607653	23.303516	29.517535	24.306452	25.783728	14.208569	11.795829	13.64478	24.047094	21.733975	18.847095	23.549456	25.434833	19.296284	26.984256	21.515301	18.292525	16.102831	20.709853	33.857606	23.798354	17.782328	23.836244	25.865651	21.035678	22.71186	23.51606
hsa-let-7b-5p	11357.54419	12807.76238	16292.42223	11172.29205	15023.38269	11578.87642	14670.7512	11692.99987	11883.38172	12432.95585	14772.75423	5818.26896	17709.83623	11766.5706	19391.30644	14727.61914	12644.36189	13246.13151	21439.87469	10655.65896	9097.872529	18182.24266	13231.95754	19140.91111	12810.82325	12771.68287	12547.93372	12743.67999	10999.38995	9860.461926	9767.910724	17532.62141	11458.92772	11086.55792	31601.19413	12926.88078	10243.29311	19797.94508	16423.20865	20347.27272	15176.52269	11851.36202	9443.884275	14847.07499	10283.44867	16572.03043	9409.117346	14658.67263	12121.76052	15271.18157	5910.436075	3025.240906	4554.360989	8933.224108	7298.120993	5425.029343	10915.32016	10720.295	6559.258415	6060.640698	6481.416781	6594.207017	4892.814715	5800.940018	10328.67007	6934.963639	7319.572732	8057.036205	7443.801531	5967.234846	5040.27477	10148.07347	5132.129323	6197.922511	6736.742705	6476.331855	6633.265263	13525.40694	6778.434426	8568.791897	5373.444656	8879.583781	5613.96346	6760.173853	9943.134986	7527.976482	7982.317205	10653.66336	5417.404248	6640.694669	7683.35128	7139.520129	5032.086595	5866.48293	5950.334576	7209.603891	6562.869967	6823.920048	6456.362695	6685.009193
hsa-let-7c-5p	2753.18522	2402.305124	1112.471421	1079.991327	1387.397279	1679.704153	2578.929152	3047.646587	1585.668481	2502.369445	4222.212414	3504.457037	2347.586879	2880.745346	520.841705	2218.723161	2523.800522	3968.860541	1442.884257	1769.821492	1660.570475	3598.785228	2359.478873	3186.924983	3187.198318	4183.365783	1909.341582	1486.88608	388.905834	1391.69715	2680.314703	3105.23646	3167.055416	2106.70006	4416.227846	2692.212818	2124.420918	2414.408649	749.045927	3160.231726	1188.271696	2133.719565	2781.900369	1847.327559	3628.919275	978.800214	1097.304458	1639.925538	2522.579148	1265.737785	1455.700302	1072.456105	1329.529578	1944.017681	2667.251835	1930.90884	2770.741697	1945.784185	1889.472221	1660.571652	1620.798337	2637.264194	1529.383643	1745.510125	3811.441442	1370.977343	2145.103781	3273.238944	1742.073708	1526.933048	1798.301786	2335.502516	1862.291654	1832.732576	1739.658176	1717.244142	1703.848119	2493.221481	1750.811389	3802.523756	1643.871215	2907.371364	1767.04982	1619.10509	2174.307538	1828.373093	2262.687439	2123.614414	1675.967708	2114.311006	2229.420661	2249.03625	2055.872864	2076.123	1991.825038	2385.590325	2362.934956	2498.930685	1987.140367	2137.685778
hsa-let-7d-3p	201.041672	182.593001	302.240973	257.693546	234.969397	274.161461	303.147843	389.710182	258.736514	240.456577	500.252673	409.914896	468.500739	268.400581	273.281141	325.325976	197.91271	201.059334	186.292716	243.548233	195.513762	178.874939	383.988333	227.950617	217.921115	434.251302	390.894558	316.432262	609.503681	140.279844	168.566231	156.44208	365.724658	377.662141	472.199093	385.700453	183.637037	470.325982	348.218247	140.05811	320.610511	196.588277	170.316576	383.817354	313.518151	332.201313	336.88774	679.746855	264.536298	217.548683	81.62499	58.207167	215.599392	177.260639	172.927125	255.659246	540.87208	587.727367	396.734818	239.608851	309.315673	163.608055	144.840158	283.909643	210.05453	292.20522	142.097728	205.710534	410.582436	386.042497	110.463927	133.965471	111.520953	167.261537	326.249233	343.448829	268.398016	290.337776	293.012258	100.139064	282.641889	213.321003	190.560392	237.682813	435.249379	359.267	247.415358	340.792541	270.054116	152.437708	207.36504	170.520089	156.591424	200.208369	214.409899	129.010599	143.877682	124.595941	146.594738	144.889279
hsa-let-7d-5p	241.849016	235.09728	316.536153	342.198457	249.628041	191.044639	269.056242	282.963482	175.613019	232.891652	369.202439	339.914043	338.879375	262.562613	251.17752	455.456367	215.002666	227.063854	202.652279	207.948374	148.839388	245.652626	385.606261	333.158592	307.70135	263.837008	216.193081	329.760922	424.310427	336.570705	236.662525	146.25946	386.747153	306.331387	574.330272	412.320885	263.245132	374.614131	106.878867	239.169697	148.084675	194.072525	141.993421	268.152836	235.405209	396.942127	213.352152	325.582587	360.405071	166.036099	240.285616	194.096831	184.59817	322.731348	347.643151	268.957518	291.942222	277.96917	266.301456	267.044976	264.507345	193.957522	235.811192	247.767425	330.311736	247.180838	244.601664	222.148037	310.475764	299.857777	212.651017	202.272723	227.914184	292.917818	284.201581	353.902954	365.281482	515.457887	240.914173	238.67732	348.916537	221.853844	165.333456	292.129977	259.044028	252.147228	263.010985	302.409767	210.701562	183.433377	169.24405	191.229943	148.452578	200.586121	231.170255	228.533063	221.205201	232.740902	257.499411	181.680531
hsa-let-7e-3p	8.236344	15.235616	7.14759	13.000757	17.245462	15.300113	20.388113	20.332706	13.11244	4.322815	11.087159	19.549788	4.235992	14.157073	11.252752	19.743922	6.064178	7.611079	26.676408	8.476156	7.260458	19.226481	11.325498	16.438746	9.794208	6.572453	11.646765	20.239817	21.787441	18.670339	11.163327	11.108314	17.685589	17.099838	28.159624	11.831302	17.690687	14.922817	2.043085	15.328698	29.473164	5.750297	7.552841	22.188703	10.930479	7.283342	8.165142	31.481267	10.509681	3.219536	13.549528	8.971782	16.205183	28.229454	23.852016	24.934258	27.433086	40.660384	32.15545	17.147579	21.910684	19.535289	15.340213	29.095625	22.152642	26.893758	14.077795	20.305152	25.752078	44.230648	14.325293	23.273663	15.158188	22.273521	25.836507	26.135317	23.279419	33.367177	18.944759	11.293879	22.09155	18.229249	17.076695	28.270642	26.874086	26.902227	20.089281	23.960159	33.385811	14.735645	17.417348	30.9303	18.556572	31.353386	18.804301	23.344775	21.824143	21.844743	23.301778	17.826691
hsa-let-7e-5p	1730.381027	1750.220739	1673.046741	1922.254556	638.082033	2356.630717	1200.391921	1018.047252	2459.987158	1652.395976	753.483419	1520.468942	1674.06412	1974.6927	2237.288407	883.316117	1664.341148	1491.454344	926.599929	1382.178598	1640.344914	1690.385333	748.561524	2284.620455	1977.613707	635.180553	748.304668	1150.213998	1792.561767	2076.949049	1558.772497	2094.84278	1403.168055	1204.805739	1375.82887	803.641204	1859.637465	769.296874	512.175794	2527.765417	867.661183	1621.943134	1150.864233	1894.537566	1845.118299	1244.64219	2092.544634	2081.905976	1948.135507	1052.788442	648.082756	1134.164458	1378.145126	2263.188559	2425.750159	1788.617345	1838.01677	1295.957324	2121.353755	1401.986146	1593.558024	2257.721408	1076.668961	2365.61061	2401.781703	1497.589532	2072.955089	1763.405812	1608.598147	1776.055672	2449.306768	2188.670308	1826.290958	2474.462148	1705.7161	1844.231041	1477.900811	1427.85518	1284.13885	1319.878057	1955.751922	2617.254797	1952.564824	2330.757448	1828.823148	1742.285971	1506.16741	1883.547584	1812.478577	2445.100831	2915.927113	2848.008237	2212.138732	3029.568133	2060.706006	2635.993761	2879.439664	3008.911036	3294.989615	2677.038006
hsa-let-7f-1-3p	1.871896	2.578335	1.531626	3.714501	1.29341	1.24055	2.172504	2.259191	2.107356	2.161408	2.217432	0	4.235992	1.605441	2.411304	1.794902	3.307734	2.219898	0.589534	1.695231	1.555812	2.74664	3.775166	1.826527	1.632368	2.816765	2.911691	0.493654	2.72343	2.523019	0.744222	0.462846	2.335832	1.465701	3.782636	2.957826	1.153741	1.02916	1.532313	1.679858	2.875431	1.078182	1.699389	2.8326	2.399373	4.0463	1.360856	4.970726	1.025334	2.759603	0.437082	0.437648	0	2.797514	0	0.332457	2.03208	0	0	2.057709	1.973935	2.093066	0.713498	1.818476	1.582332	0.906531	1.539759	1.933824	1.813527	2.276577	0.31834	1.324518	1.624092	1.68102	1.013196	3.689691	4.450476	1.51669	2.210222	1.0039	1.299502	2.327138	0.776213	1.745102	1.662314	0.733697	2.643327	0.697869	1.483814	0	1.314517	0	1.302216	1.888758	1.635158	0.982937	0.808302	2.157505	0.589918	1.137874
hsa-let-7f-2-3p	0.374379	0	0	1.392939	0.862274	0	0.334231	0.564797	0.234151	0	0.443486	0	0	0.145949	0.401884	0.897451	0.551289	0	0	0	0	0.171665	0	1.461221	1.632368	1.408383	0	0	0.544686	0	0	0	0.33369	0.488567	1.260879	0	0.38458	0.51458	0.383078	0	0.718858	0	0	0.9442	0.266597	1.21389	0	2.89959	0.256334	1.839736	0.327811	0	0	0.508639	0	0	0	0.73928	0.452894	0.228634	0.394787	0.348844	0.713498	0	0.791166	0	0.219966	0.241728	0.362705	0.325225	0	0	0.270682	0	0	0.614949	0.342344	0.65001	0	0.752925	0	0.387856	0	0	0.554104	1.467394	0.264333	0.232623	0.741907	0.508126	0	0	0.325554	0	0.204395	0	0	0	0	0
