"tumorMean"	"controlMean"	"tumorsd"	"controlsd"	"pvals3"
"hsa-miR-30c-2-3p"	162.21412178	374.34400182	65.816614676909	73.8506798948375	0.00000000000000000000000000263405787324478
"hsa-miR-2355-5p"	66.08049658	21.80877418	20.4167147459151	7.65425105320256	0.00000000000000000000184903118939938
"hsa-miR-15a-5p"	148.8448079	60.8986282	41.3091801844701	18.6408187428142	0.00000000000000000000273159672116804
"hsa-miR-200b-3p"	138.97877538	455.52809816	75.5594913346866	151.068439972567	0.00000000000000000000529912034581792
"hsa-miR-210-3p"	4232.52953414	316.91819672	1854.74116938393	314.048824034316	0.0000000000000000000380376927540356
"hsa-miR-584-5p"	42.77017732	10.91166032	15.9966987462091	7.15651061825498	0.0000000000000000000745668061409738
"hsa-miR-330-5p"	19.32231512	6.26841938	6.5730801338639	2.77814773636874	0.0000000000000000000927611717414837
"hsa-miR-28-3p"	4349.05615402	1905.64229936	1222.89853696548	436.584341102521	0.0000000000000000000986694708486378
"hsa-miR-200a-5p"	148.96311558	338.82493976	77.3584382239082	93.0069811366549	0.000000000000000000779237455970213
"hsa-miR-151a-3p"	1674.5708248	977.92116924	367.559577582357	107.449905256904	0.00000000000000000153425997208149
"hsa-miR-10b-3p"	37.54555026	61.27574198	12.6914768235482	9.7579841486175	0.0000000000000000225375608344391
"hsa-miR-23a-3p"	2825.76467252	1437.16176234	811.340660147754	385.813398476872	0.0000000000000000859007575968498
"hsa-miR-193a-5p"	264.99275514	99.5291617	97.0671046951984	59.0452686494603	0.000000000000000224647287919869
"hsa-miR-200a-3p"	94.51813596	239.3097048	53.8504848369038	84.8964965977737	0.000000000000000286189316763701
"hsa-miR-10b-5p"	180390.6550328	300976.353736	70855.9140916914	45556.1571112935	0.000000000000000348250163652299
"hsa-miR-106b-3p"	199.26185976	57.21159864	86.4394554025601	24.7621849203677	0.000000000000000557759865555812
"hsa-let-7b-5p"	13865.8514836	7093.2371081	4167.96685776933	1937.1221993314	0.000000000000000802689902357922
"hsa-miR-16-1-3p"	4.42466964	1.43554644	1.85300938644167	0.90047686915339	0.0000000000000011755803627578
"hsa-miR-181a-3p"	192.4299466	78.75583444	71.031767808174	17.2478924930432	0.00000000000000176635305548151
"hsa-miR-93-5p"	2610.86928382	1139.72329042	921.295356465679	444.46538037838	0.0000000000000017864631094086
"hsa-miR-206"	0.3783491	5.50168058	0.983687126395302	3.2337700264863	0.00000000000000223667911042515
"hsa-miR-374a-3p"	820.86378654	402.31513458	265.610112689256	125.923790010741	0.00000000000000302317272215105
"hsa-miR-576-5p"	15.63821038	5.68876032	6.43074966146017	1.7078584961887	0.00000000000000598669030684081
"hsa-miR-25-3p"	4829.68235158	2294.5872506	1641.36785507086	457.331381849304	0.00000000000000622639109390132
"hsa-miR-21-5p"	167746.1677906	37041.5167013	88913.1193757484	32670.6529973829	0.0000000000000383209305507614
"hsa-miR-10a-3p"	1.58733818	4.64318164	1.17086104495954	2.06153737661157	0.000000000000067452696020277
"hsa-miR-148b-3p"	221.1324548	139.61660942	56.4842518109857	25.385749252702	0.0000000000000939234228640962
"hsa-miR-200b-5p"	4.46868384	11.79590832	2.71727580822845	5.10160434809117	0.000000000000179729024936859
